Price,Floors,Area,Road_Width,City_Bhaktapur,City_Kathmandu,City_Lalitpur,Road_Type_Blacktopped,Road_Type_Gravelled,Road_Type_Soil Stabilized
-0.28619899999999998,2.75,5.5,20.0,0,1,0,0,0,1
-0.675366000000000,2.75,3.5,13.0,0,0,1,0,1,0
-1.1757230000000001,2.0,5.0,16.0,0,0,1,1,0,0
-0.0638180000000000,2.75,4.5,20.0,0,1,0,1,0,0
-0.6475680000000000,2.5,4.0,10.0,0,0,1,0,1,0
-0.9255440000000000,3.0,3.1,20.0,0,1,0,1,0,0
-1.2591159999999999,1.5,2.75,13.0,0,0,1,0,1,0
-1.1479250000000001,1.5,3.0,13.0,0,0,1,0,1,0
0.4921340000000000,5.0,5.3125,29.0,0,1,0,0,0,1
0.9090990000000000,3.0,80.0,20.0,0,1,0,1,0,0
-0.20280599999999999,3.0,5.0,14.0,0,1,0,0,1,0
-0.11941300000000001,3.0,4.3,12.0,0,0,1,1,0,0
-0.8699490000000000,3.0,3.1875,18.0,0,0,1,0,0,1
1.3260630000000000,3.0,8.0,20.0,0,1,0,1,0,0
1.465051000000000,2.0,9.5,15.0,0,1,0,1,0,0
0.07517000000000000,2.5,3.625,12.0,0,1,0,1,0,0
-0.48078199999999999,4.0,2.5,20.0,0,1,0,1,0,0
-1.0089370000000000,2.0,3.5,13.0,0,1,0,1,0,0
2.2989800000000,5.0,9.0,12.0,0,1,0,1,0,0
2.2989800000000,3.0,10.0,16.0,0,1,0,0,1,0
0.3253490000000000,4.0,6.0,18.0,0,1,0,1,0,0
0.18636000000000000,3.0,4.0,20.0,0,1,0,1,0,0
-0.44742500000000002,4.0,4.0,10.0,0,0,1,0,1,0
0.15856300000000001,2.0,6.25,20.0,0,1,0,1,0,0
-0.6197710000000000,3.0,3.25,14.0,0,1,0,1,0,0
-0.5641750000000000,3.0,3.0,15.0,0,1,0,1,0,0
-0.6197710000000000,3.0,3.1875,15.0,0,1,0,0,1,0
-0.0638180000000000,3.0,4.0,15.0,0,1,0,0,1,0
0.4921340000000000,3.0,12.0,15.0,0,1,0,1,0,0
-1.2591159999999999,2.0,4.0,3.0,0,1,0,0,0,1
0.4921340000000000,2.0,5.0,12.0,0,1,0,1,0,0
0.07517000000000000,2.0,6.0,18.0,0,1,0,0,1,0
0.18636000000000000,3.0,4.0,20.0,0,1,0,1,0,0
0.6311220000000000,3.0,6.0,20.0,0,1,0,1,0,0
0.2975510000000000,1.0,11.0,0.0,0,0,1,0,0,1
-0.9255440000000000,3.0,3.75,12.0,0,1,0,1,0,0
-0.9533420000000000,2.5,3.0,10.0,0,1,0,0,1,0
-0.7309610000000000,2.5,3.75,13.0,0,1,0,1,0,0
